iter	RMSE
0	9900.329367
1	9494.403241
2	9138.63456
3	8793.076826
4	8474.546036
5	8154.743625
6	7865.246566
7	7595.720669
8	7320.928194
9	7083.509526
10	6849.884731
11	6597.761261
12	6391.73431
13	6170.923394
14	5955.297149
15	5761.245077
16	5574.842078
17	5389.631585
18	5223.053199
19	5059.632572
20	4893.593835
21	4759.097877
22	4614.685729
23	4494.764739
24	4380.695025
25	4268.095151
26	4155.913559
27	4044.041156
28	3948.748249
29	3857.434723
30	3764.576198
31	3669.71726
32	3580.225817
33	3501.849616
34	3414.978851
35	3340.075481
36	3265.967749
37	3204.847652
38	3126.239992
39	3061.591166
40	2995.519775
41	2942.281467
42	2881.593373
43	2831.979807
44	2784.432757
45	2732.84996
46	2693.048577
47	2649.893935
48	2604.403208
49	2562.774413
50	2520.935123
51	2486.743056
52	2455.700267
53	2418.92398
54	2381.476356
55	2347.435792
56	2309.777773
57	2282.517428
58	2254.950022
59	2231.328844
60	2208.140583
61	2182.334941
62	2154.546895
63	2127.2107
64	2099.116929
65	2079.934928
66	2053.945606
67	2031.131316
68	2007.197308
69	1988.409707
70	1968.884192
71	1948.359741
72	1933.381669
73	1919.725458
74	1903.140533
75	1888.071515
76	1873.801136
77	1856.644838
78	1842.282548
79	1823.156368
80	1809.96822
81	1798.529086
82	1787.17565
83	1771.138063
84	1757.200689
85	1741.188209
86	1728.061348
87	1713.814451
88	1705.105967
89	1691.681818
90	1684.149769
91	1673.834497
92	1662.534684
93	1656.030513
94	1646.841026
95	1636.675326
96	1621.548683
97	1614.92537
98	1607.822571
99	1593.380548
100	1582.457831
101	1574.297559
102	1564.754741
103	1553.232767
104	1544.729626
105	1533.037941
106	1530.754261
107	1525.845835
108	1519.410548
109	1510.784828
110	1504.778135
111	1498.332076
112	1494.802546
113	1484.086517
114	1478.899922
115	1470.316717
116	1463.128094
117	1459.761045
118	1453.014799
119	1447.32383
120	1438.882757
121	1432.111867
122	1425.182572
123	1422.970256
124	1415.494227
125	1409.875183
126	1400.475122
127	1392.313189
128	1383.310801
129	1377.30648
130	1371.018074
131	1364.828848
132	1359.161519
133	1353.200884
134	1346.423902
135	1341.56634
136	1336.348756
137	1331.652636
138	1325.394717
139	1317.965852
140	1309.109074
141	1304.781527
142	1298.511912
143	1292.072946
144	1287.887862
145	1283.026988
146	1277.298348
147	1273.347447
148	1269.188794
149	1265.634116
150	1260.52141
151	1257.133781
152	1251.256954
153	1245.570358
154	1245.216075
155	1242.874009
156	1239.953252
157	1237.305298
158	1230.964793
159	1226.880855
160	1220.373165
161	1213.519583
162	1209.525834
163	1207.534928
164	1202.265079
165	1199.347503
166	1194.644844
167	1191.956965
168	1189.123961
169	1185.7734
170	1182.737025
171	1179.818381
172	1173.972379
173	1171.256046
174	1167.595784
175	1162.534885
176	1160.357803
177	1156.309875
178	1152.493016
179	1150.034431
180	1147.353711
181	1143.880142
182	1142.087441
183	1139.86399
184	1137.433621
185	1133.324589
186	1130.940984
187	1127.739776
188	1125.473351
189	1121.58288
190	1117.961089
191	1115.20807
192	1113.298663
193	1110.326913
194	1107.211589
195	1103.690694
196	1099.646622
197	1097.69976
198	1095.009933
199	1092.912981
200	1090.380448
201	1087.36267
202	1085.455906
203	1083.587546
204	1080.79461
205	1077.975856
206	1075.932939
207	1073.657506
208	1071.878982
209	1069.928575
210	1067.918372
211	1066.008912
212	1064.280837
213	1062.482494
214	1060.91975
215	1059.050943
216	1057.233093
217	1055.46211
218	1053.937462
219	1052.146873
220	1050.232976
221	1048.505994
222	1046.857213
223	1044.27701
224	1042.345767
225	1040.47798
226	1037.592218
227	1035.734808
228	1034.28089
229	1032.529471
230	1030.88335
231	1029.49536
232	1027.252976
233	1025.021057
234	1023.638164
235	1022.170738
236	1020.397938
237	1019.026775
238	1017.235723
239	1015.529848
240	1014.24914
241	1012.926294
242	1011.156852
243	1009.734587
244	1008.376868
245	1007.127577
246	1005.937813
247	1004.200506
248	1002.927546
249	1001.710982
250	1000.579108
251	999.4136311
252	997.5265539
253	995.4755183
254	993.3620413
255	992.0486012
256	990.0479236
257	988.3160527
258	986.4513269
259	985.4971956
260	983.7054356
261	982.5249573
262	981.478257
263	979.1098505
